"",10001
"Andes Norte  - Urb. Portobello",10759
"Andes Norte - Urb. Bosques del Norte",10760
"Urb. Salamanca",10761
"Charles De Gaulle II",10762
"Manzanares",10763
"Jiménez De Quesada",10764
"Nuevo San Antonio",10765
"El Motorista",10766
"Quintas del Recreo Etapa 5",10767
"S.C. San Bernardino XIX",10768
"La Pradera El Volcán",10769
"Guacoche",10770
"Niza Suba - Urb. San Gregorio",10771
"La Floresta Norte",10772
"San Isidro Tuna",10773
"Tuna La Mulera",10774
"Atardeceres de Suba",10775
"Niza Suba - El Rincón del Jura",10776
"Urb. Áticos del Norte",10777
"Niza Suba - Los Magnolios",10778
"Santa_Catalina",10779
"Ditmarcia",10780
"Los Alpes Cerro los Lagartos",10781
"Urb. Monte Verde y Colina Linda",10782
"Chesnut Hill",10783
"Urb. Kyra",10784
"Iberia - Altamira",10785
"Costa Azul I Etapa",10786
"Iberia - Santa Ana",10787
"Portales del Norte - Claret Norte",10788
"Villa Olga",10789
"Quimran Condominio",10790
"Colpatria Santa Helena II Sector",10791
"Los Tejares de Suba (Predio)",10792
"Zulia",10793
"Los Naranjos - Rincón de Suba",10794
"S.C. Los_Naranjos",10795
"Tibabita - El Caramely",10796
"Salitre I Sector",10797
"Acapulco",10798
"Niza Suba - Monteniza",10799
"Prado Sur Sector La Villa",10800
"Las Villas Sector III",10801
"Santa Ana Suba Naranjos",10802
"Arboleda de Suba",10803
"S.C. Espartillal",10804
"Tafur Morales",10805
"Cama Vieja",10806
"El Pedregal",10807
"Urb. Piedra Verde",10808
"Berlín_",10809
"San Carlos de Tibabuyes",10810
"Colina Campestre I Sector",10811
"Tuna Baja Las Mercedes",10812
"Los Arrayanes de Suba",10813
"Riobamba II",10814
"El Jordán I",10815
"Tara II",10816
"La Poderosa y El Porvenir (Lote)",10817
"Lombardia",10818
"Las Vegas",10819
"Sabanas del Dorado II",10820
"El Cucharo",10821
"Muzu",10822
"Los Libertadores",10823
"El Bosque de los Molinos",10824
"Antonio Morales II",10825
"La Granja Norte",10826
"San José de las Pistas",10827
"Ferrocaja",10828
"Nueva Esperanza",10829
"El Progreso",10830
"Primavera Occidental",10831
"Republica del Canadá El Pinar",10832
"Los Libertadores Sector La Colina",10833
"Urb. Acapulco",10834
"Urb. Rodesia",10835
"Montevideo_",10836
"Pantanito",10837
"Velódromo",10838
"Urb. Caja Social de Ahorros San Cristóbal",10839
"S.C. Velódromo",10840
"Urb. Central - Jorge Gaitan Cortes",10841
"Centro Fontibón",10842
"Boston",10843
"Bosque Calderón Tejada II Sector",10844
"La Alameda",10845
"Las Aguas",10846
"Veracruz__",10847
"San_Bernardo",10848
"Atanasio Girardot",10849
"Balcones de Suba",10850
"S.C. San Ignacio",10851
"La_Concordia",10852
"Villa Sandra",10853
"Bellavista Sector Lucero",10854
"Tunjuelito",10855
"Urb. El Moral",10856
"Urb. Santa Rosa - Rincón de Venecia",10857
"Bosques de Granada",10858
"Príncipe de Bochica",10859
"Santa Helena_",10860
"El Jazmín II Sector",10861
"El Pantano - Junca y Montecitos",10862
"Ciudadela Industrial El Dorado",10863
"Niza Norte",10864
"San Jerónimo",10865
"Las Palmeras_",10866
"Río de Janeiro El Pesebre",10867
"S.C. La Picota Oriental",10868
"Normandia Multifamiliar Covimac",10869
"Vereda Tibabuyes - Fontanar del Río",10870
"Palma Aldea La Juanita",10871
"Canódromo",10872
"Prado Sur",10873
"Ciudad Hunza",10874
"Karimagua Conejera",10875
"Roselandia (Finca)",10876
"Valparaíso",10877
"El Vergel",10878
"Santa Inés Sur",10879
"El Refugio Sur",10880
"El Triunfo",10881
"Páramo I",10882
"Arauquita II Sector",10883
"Villa Sonia I",10884
"Brasil I Sector Villa Diana",10885
"Villas del Rincón",10886
"Britalia Sector La Moneda",10887
"El Encenillal",10888
"Española III Sector",10889
"La Castaña",10890
"Santa Rosita La Cañada",10891
