ESTADOS,CASOS
LA MAGDALENA,10414
BONANZA,10415
EL RECUERDO,10416
SABANA GRANDE,10417
SANTA SOFIA,10418
LA LAGUNA FONTIBON,10419
EL TINTAL CENTRAL,10420
DIANA TURBAY CULTIVOS,10421
EL REFUGIO,10422
ESCUELA DE INFANTERIA,10423
MONTE CARLO,10424
EL DORADO INDUSTRIAL,10425
EL REFUGIO II,10426
LOS SAUCES,10427
MOLINOS DE ORIENTE,10428
CASA DE TEJA,10429
VILLAS EL DIAMANTE,10430
LA CASTELLANA,10431
EL CHANCO RURAL II,10432
ESCUELA DE CABALLERIA I,10433
ARRAYANES VI,10434
CIUDAD TECHO II,10435
QUIRIGUA I,10436
RIONEGRO,10437
GALAN RURAL,10438
VILLA ANNY I,10439
EL VIRREY,10440
LOS LACHES,10441
LA SOLEDAD,10442
VILLA ELISA,10443
VILLA ANNY II,10444
SAN BERNARDINO I,10445
VEREDA EL TINTAL,10446
VILLA ANITA,10447
SAN PEDRO,10448
SAN JAVIER,10449
POPULAR MODELO,10450
SAN PATRICIO,10451
BARRANCAS NORTE,10452
AURES II,10453
CARACAS,10454
CIUDAD DE CALI,10455
EL MINUTO DE DIOS,10456
SAN BLAS,10457
SANTA ANA SUR,10458
BOLONIA I,10459
CARMEN DEL SOL,10460
PUENTE COLORADO,10461
RAFAEL NUNEZ,10462
VEREDA SUBA CERROS II,10463
EL SATELITE,10464
LA REFORMA,10465
DINDALITO,10466
LAS ACACIAS,10467
ARRAYANES V,10468
CALANDAIMA,10469
LAS MERCEDES,10470
LA PRADERA,10471
LOS LAURELES II,10472
EL PINO,10473
DINDALITO,10474
ARBORIZADORA ALTA II,10475
JUAN XXIII,10476
LA SALLE,10477
ALQUERIA LA FRAGUA II,10478
ALQUERIA LA FRAGUA NORTE,10479
VILLAS DEL PROGRESO,10480
CAMPANELLA,10481
SAN BENITO,10482
SANTA INES SUR II,10483
SAN JUAN URBANO,10484
GRANADA SUR,10485
TUNJUELITO,10486
LAS FERIAS OCCIDENTAL,10487
LA GLORIA ORIENTAL,10488
CHAPINERO CENTRAL,10489
CIUDAD SALITRE SUR-ORIENTAL,10490
CIUDAD UNIVERSITARIA,10491
SAN BERNARDINO XVIII,10492
LISBOA,10493
BRITALIA,10494
MONTEBLANCO,10495
CASABLANCA SUBA I,10496
CANAIMA,10497
TIBABITA RURAL,10498
LAS MERCEDES SUBA RURAL,10499
PASO ANCHO,10500
EL MOCHUELO,10501
LAS DELICIAS,10502
DINTALITO,10503
LAS ACACIAS,10504
CIUDAD JARDIN SUR,10505
GRANADA NORTE,10506
BILBAO,10507
SAN CARLOS DE SUBA,10508
CASTILLA,10509
VERBENAL SAN ANTONIO,10510
YOMASA,10511
BELLAVISTA LUCERO ALTO,10512
VILLA DE LOS ALPES,10513
BOYACA,10514
DIANA TURBAY,10515
BOSA NOVA,10516
IRAGUA,10517
VITELMA,10518
BELLO HORIZONTE,10519
SAN AGUSTIN,10520
VILLA DE LOS ALPES I,10521
SAN LUIS,10522
VILLAS DE ALCALA,10523
LA MARIA,10524
SUBA CERROS,10525
VERGEL OCCIDENTAL,10526
LAS DOS AVENIDAS,10527
LA REQUILINA RURAL II,10528
OLARTE,10529
ALQUERIA LA FRAGUA,10530
EL PARAISO,10531
JACQUELINE,10532
QUIBA I,10533
CASABLANCA SUBA URBANO,10534
PORTALES DEL NORTE,10535
COLSEGUROS,10536
CHISACA,10537
ESTORIL,10538
SAN DIEGO,10539
CHUCUA DE LA VACA II,10540
COMUNEROS,10541
VILLA NELLY III SECTOR,10542
SAN ISIDRO,10543
LA PAZ BOSA,10544
SAN FERNANDO OCCIDENTAL,10545
NACIONES UNIDAS,10546
PROVIVIENDA NORTE,10547
VILLA MAYOR ORIENTAL,10548
BRASILIA,10549
SAN RAFAEL USME,10550
SAN PEDRO,10551
MILLAN,10552
CIUDAD BACHUE,10553
SAN PEDRO SUR,10554
LA ESTRELLITA III,10555
GINEBRA II,10556
EL MOCHUELO IV,10557
TUNA ALTA,10558
SANTA ISABEL,10559
VILLAS DE GRANADA I,10560
LLANO GRANDE,10561
LA FAVORITA,10562
BARCELONA,10563
REMANSO SUR,10564
CENTRO ADMINISTRATIVO,10565
EL MOCHUELO III URBANO,10566
TUNDAMA,10567
CUNDINAMARCA,10568
LAS GUACAMAYAS I,10569
BELALCAZAR,10570
PENSILVANIA,10571
SAN GABRIEL NORTE II,10572
VILLA DEL PRADO,10573
SAN BERNARDINO POTRERITOS,10574
CAMPO VERDE,10575
EL VERVENAL,10576
USAQUEN,10577
EL JAZMIN,10578
GUSTAVO RESTREPO,10579
CANADA O GUIRA,10580
ISLA DEL SOL,10581
LA COMUNA,10582
QUINTA CAMACHO,10583
BATALLON CALDAS,10584
RAMAJAL,10585
NUEVA ZELANDIA,10586
MOLINO RURAL,10587
BOSQUE CALDERON,10588
SAN MARTIN SUR,10589
CIUDAD LONDRES I,10590
CANODROMO,10591
COMPARTIR,10592
ESTRELLA DEL SUR,10593
ALTOS DEL POBLADO,10594
CIUDAD SALITRE NOR-ORIENTAL,10595
EL ROCIO,10596
VILLABEL,10597
OSORIO X,10598
CHARALA,10599
FERROCAJA FONTIBON,10600
BOSA NOVA EL PORVENIR,10601
GRAN COLOMBIANO,10602
EL BOSQUE SUR ORIENTAL,10603
EL DORADO,10604
EL NEVADO,10605
PALOQUEMAO,10606
SAMPER,10607
ARMENIA,10608
LA GLORIA OCCIDENTAL,10609
ALASKA,10610
BOSQUE DE MODELIA,10611
AEROPUERTO EL DORADO,10612
CHUCUA DE LA VACA I,10613
BRISAS ALDEA FONTIBON,10614
SEMINARIO,10615
VALLADOLID,10616
GRANJAS SAN PABLO,10617
INGEMAR ORIENTAL,10618
PARDO RUBIO,10619
RINCON ALTAMAR,10620
BOCHICA II,10621
SANTA CATALINA,10622
GIBRALTAR SUR,10623
HOSPITAL SAN CARLOS,10624
EL CHIRCAL SUR,10625
MARCO FIDEL SUAREZ,10626
LA AURORA,10627
MOLINOS NORTE,10628
TIBABUYES,10629
DIANA TURBAY ARRAYANES,10630
ANDES NORTE,10631
LA ESPERANZA,10632
EL BAGAZAL,10633
BENJAMIN HERRERA,10634
BRAZUELOS OCCIDENTAL RURAL,10635
SAN PABLO JERICO,10636
PRADO VERANIEGO,10637
FRANCO,10638
EL PEDREGAL,10639
PARQUE NACIONAL URBANO,10640
LA PAZ,10641
EL CARMEN,10642
CATALUNA,10643
FLORIDA,10644
LOS ALPES SUR,10645
SAN GABRIEL,10646
PARQUE NACIONAL,10647
INDUSTRIAL CENTENARIO,10648
VILLA ALSACIA,10649
POLICARPA,10650
BELLAVISTA,10651
FATIMA,10652
MARSELLA,10653
CANDELARIA LA NUEVA,10654
LUCERO ALTO,10655
MEXICO,10656
BRISAS DEL LLANO,10657
EL ENSUENO,10658
JULIO FLOREZ,10659
SAN ISIDRO RURAL,10660
SANTA RITA SUR ORIENTAL,10661
QUESADA,10662
CAMPO HERMOSO,10663
LAS MANAS,10664
CHICALA,10665
PARAISO QUIBA,10666
LA PICOTA,10667
EL JAZMIN,10668
SALITRE SUBA,10669
PINOS DE LOMBARDIA,10670
USMINIA,10671
SABANA DE TIBABUYES NORTE,10672
ALTAMIRA,10673
TUNA,10674
CASABLANCA SUBA,10675
RINCON DE SANTA INES,10676
PABLO VI NORTE,10677
GIRARDOT,10678
LA TORRE,10679
SAN BERNARDINO,10680
QUIROGA SUR,10681
CANAVERALEJO,10682
EL VERGEL,10683
SOCIEGO,10684
ARBORIZADORA ALTA,10685
BETANIA,10686
ALTOS DEL ZIPA,10687
MOLINOS DEL SUR,10688
SOSIEGO SUR,10689
LA VEGA SAN BERNARDINO,10690
QUIBA,10691
LA CABANA,10692
DESARROLLO BRAZUELOS,10693
ARBORIZADORA ALTA I,10694
NIZA NORTE,10695
LA ALAMEDA,10696
LUCERO DEL SUR,10697
LA LIBERTAD,10698
SAN JOSE SUR ORIENTAL,10699
LAS AMERICAS,10700
SUCRE,10701
CENTRO NARINO,10702
BELLAVISTA SUR,10703
BUENAVISTA,10704
PORVENIR,10705
LAS VILLAS,10706
SAN JOSE DE BAVARIA,10707
TIBABITA,10708
TIBABITA I,10709
EL CEREZO,10710
CENTRO INDUSTRIAL,10711
LA FAENA,10712
EL PLAYON,10713
SAN BERNARDINO II,10714
SANTA INES SUR,10715
SUMAPAZ,10716
SAN RAFAEL,10717
JORGE URIBE BOTERO,10718
VILLA GLORIA,10719
BARRANQUILLITA,10720
LAS ANIMAS,10721
