code,localidad
907,Rafael Uribe
917,None
920,Rafael Uribe
927,Rafael Uribe
936,Engativá
943,Puente Aranda
954,Usaquén
975,Kennedy
978,Kennedy
989,Kennedy
1011,Kennedy
1013,Kennedy
1015,None
1020,Kennedy
1043,Kennedy
1044,Kennedy
1055,Kennedy
1064,Kennedy
1075,Kennedy
1085,Kennedy
1102,Kennedy
1115,None
1120,Kennedy
1123,Kennedy
1130,Kennedy
1132,Kennedy
1133,Kennedy
1138,Kennedy
1187,Kennedy
1189,Kennedy
1198,Kennedy
1212,Kennedy
1217,Kennedy
1232,Kennedy
1288,Kennedy
1302,Kennedy
1743,Bosa
1744,Bosa
1793,Bosa
1794,Bosa
1801,Bosa
1808,Bosa
1856,Bosa
1863,Bosa
1864,Bosa
1870,Bosa
1904,Bosa
1916,Bosa
1918,Bosa
1925,Bosa
1993,None
1994,None
2003,None
2005,None
2021,None
2099,None
2120,None
2126,None
2130,None
2186,None
2201,None
2202,None
2207,None
2210,None
1239,Kennedy
1242,Kennedy
1253,Kennedy
1274,Kennedy
1305,Kennedy
1306,Kennedy
148,None
152,Engativá
162,Kennedy
164,San Cristóbal
170,San Cristóbal
176,Fontibón
195,San Cristóbal
205,Los Mártires
207,Candelaria
220,Rafael Uribe
221,None
230,Kennedy
245,None
257,Engativá
269,Engativá
279,Bosa
280,Bosa
283,Bosa
285,None
289,None
307,None
309,None
316,Engativá
339,Los Mártires
343,None
348,Usaquén
368,Engativá
401,Santa Fe
406,San Cristóbal
419,San Cristóbal
424,San Cristóbal
450,None
455,San Cristóbal
474,None
492,Engativá
499,Chapinero
503,Fontibón
527,Fontibón
535,Engativá
546,Engativá
566,Engativá
581,Fontibón
594,None
600,San Cristóbal
602,San Cristóbal
607,Rafael Uribe
617,San Cristóbal
630,Fontibón
633,Fontibón
634,Fontibón
636,Fontibón
643,Usaquén
646,Barrios Unidos
650,Usaquén
662,Rafael Uribe
669,San Cristóbal
676,Rafael Uribe
1467,None
798,Usaquén
807,Usaquén
812,Usaquén
818,Usaquén
822,Usaquén
847,Usaquén
1606,Bosa
1613,Bosa
872,Teusaquillo
874,Kennedy
905,Rafael Uribe
922,Rafael Uribe
924,Rafael Uribe
1719,Bosa
1727,Bosa
1774,Bosa
1688,Bosa
1693,Bosa
1698,Bosa
1702,Bosa
2331,None
2340,None
558,Engativá
2388,None
2404,None
574,Engativá
576,San Cristóbal
579,None
589,None
608,Rafael Uribe
2441,Usaquén
620,Rafael Uribe
627,Engativá
635,Fontibón
653,Usaquén
658,Usaquén
667,San Cristóbal
685,Teusaquillo
735,Santa Fe
742,Rafael Uribe
744,Rafael Uribe
747,Rafael Uribe
749,Rafael Uribe
751,Rafael Uribe
754,Rafael Uribe
760,Rafael Uribe
770,None
778,Teusaquillo
780,Teusaquillo
3048,Puente Aranda
797,Usaquén
825,Usaquén
836,Usaquén
862,Barrios Unidos
866,Kennedy
879,Teusaquillo
903,Rafael Uribe
913,Rafael Uribe
1728,Bosa
1747,None
3152,Usaquén
3183,San Cristóbal
1804,Bosa
1806,Bosa
1811,Bosa
1834,Bosa
1852,Bosa
1872,Bosa
3239,Fontibón
1930,Bosa
3284,Puente Aranda
3297,None
3298,Barrios Unidos
3313,Barrios Unidos
3322,San Cristóbal
2057,None
2060,None
2064,None
2066,None
3374,Rafael Uribe
